A0-00 A1-00 A2-00 
A0-01 A1-01 A2-01 
A0-10 A1-10 A2-10 
A0-11 A1-11 A2-11 
A0-1111 A1-1111 A2-1111 
A0-1110 A1-1111 A2-1111 
A0-1010 A1-1010 A2-1010 
A0-11 A1-11 A2-10 
A0-10 A1-10 A2-00 
A0-10 A1-10 A2-11 
A0-1010 A1-1010 A2-1111 
A0-11 A1-10 A2-11 
A0-1111 A1-1111 A2-0111 
A0-10101010 A1-10101010 A2-10101010 
A0-1111 A1-1111 A2-1011 
A0-1110 A1-1111 A2-0111 
A0-1010 A1-1010 A2-0000 
A0-11 A1-11 A2-01 
A0-1111 A1-1111 A2-1010 
A0-10 A1-11 A2-11 
A0-10 A1-10 A2-01 
A0-1000 A1-1010 A2-1010 
A0-1111 A1-1010 A2-1111 
A0-10 A1-11 A2-10 
A0-10101010 A1-10101010 A2-10001010 
A0-1010 A1-1010 A2-0101 
A0-10001000 A1-10101010 A2-10101010 
A0-1010 A1-1010 A2-0010 
A0-1000 A1-1010 A2-1111 
A0-11 A1-10 A2-10 
A0-1010 A1-1011 A2-1111 
A0-10111010 A1-10101010 A2-10101010 
