A0- G0:b5aaad57 G1:85d556a8 G2:848222a0 G3:55953555 A1- G0:80848000 G1:80008140 G2:80830000 G3:15141515 A2- G0:b5aaad57 G1:85d556a8 G2:848aa280 G3:55953555 
A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:aaaa G1:8888 G2:8888 G3:5555 A1- G0:a8a8 G1:8888 G2:8080 G3:1515 A2- G0:8888 G1:8080 G2:0000 G3:1111 
A0- G0:aaaaaaaa G1:88888888 G2:88888888 G3:55555555 A1- G0:a8a8a8a8 G1:88888888 G2:80808080 G3:15151515 A2- G0:88888888 G1:80808080 G2:00000000 G3:11111111 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:80 G1:85 G2:84 G3:55 A1- G0:80 G1:80 G2:80 G3:15 A2- G0:b5 G1:85 G2:84 G3:55 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000400 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:aa G1:88 G2:98 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:8c G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000600 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:a0808000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:aaaa G1:8888 G2:8888 G3:5555 A1- G0:a8a8 G1:8888 G2:8080 G3:1515 A2- G0:8888 G1:8080 G2:0002 G3:1111 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000600 G3:15151515 A2- G0:b1aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:88 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:aaaa G1:8888 G2:8888 G3:5555 A1- G0:a8a8 G1:8888 G2:a080 G3:1515 A2- G0:8888 G1:8080 G2:0000 G3:1111 
A0- G0:aa G1:88 G2:88 G3:51 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:84828482 G3:55955595 
